City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Port Alfred,ZA,74.73,overcast clouds,-33.5906,26.891,The Halyards Hotel
2,Karmala,IN,70.38,clear sky,18.4167,75.2,Hotel Ashutosh Lodge
3,Ahipara,NZ,72.93,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
4,Lebu,CL,57.42,clear sky,-37.6167,-73.65,Hostal Las Lilas
7,Mogadishu,SO,76.69,overcast clouds,2.0371,45.3438,Hotel Juba
8,Hobart,AU,82.26,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
9,Champerico,GT,79.36,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
10,Richards Bay,ZA,72.91,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
12,Rikitea,PF,78.35,overcast clouds,-23.1203,-134.9692,People ThankYou
14,New Norfolk,AU,81.9,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
15,Poum,NC,81.07,scattered clouds,-20.2333,164.0167,Gîte kajeon
17,Esperance,AU,65.89,broken clouds,-33.8667,121.9,Hospitality Esperance
18,Madang,PG,84.27,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
19,Cape Town,ZA,73.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
21,Kapaa,US,75.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,Port Elizabeth,ZA,73.09,mist,-33.918,25.5701,39 On Nile Guest House
25,Vilia,GR,50.77,overcast clouds,38.1667,23.3333,Hotel Idillion - Ειδύλλιον
26,Hithadhoo,MV,82.45,clear sky,-0.6,73.0833,Scoop Guest House
27,Ribeira Grande,PT,60.24,few clouds,38.5167,-28.7,Quinta da Meia Eira
28,Ambalavao,MG,63.09,broken clouds,-21.8333,46.9333,Hôtel Le Tropik
29,Bluff,NZ,66.79,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
30,Puerto Quijarro,BO,72.72,overcast clouds,-17.7833,-57.7667,Hotel palance
31,Chuy,UY,60.67,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
32,Busselton,AU,74.08,clear sky,-33.65,115.3333,Observatory Guest House
33,Souillac,MU,80.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
34,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
36,Hermanus,ZA,72.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
38,Saint George,US,51.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
42,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
44,Cidreira,BR,72.86,clear sky,-30.1811,-50.2056,Hotel Castelo
45,Hilo,US,74.25,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
46,Sibolga,ID,81.86,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
47,Kavieng,PG,79.86,moderate rain,-2.5744,150.7967,Nusa Island Retreat
49,Tamandare,BR,77.88,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
52,Miraflores,MX,64.02,broken clouds,19.2167,-98.8083,Hotel Mansión
53,Ancud,CL,57.22,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
57,Codrington,AU,62.58,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
58,Lata,PT,51.06,clear sky,40.1629,-8.3327,Casa Maquia
60,Inhambane,MZ,78.17,broken clouds,-23.865,35.3833,Oceano
61,Kaitangata,NZ,69.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
65,Colac,AU,75.0,scattered clouds,-38.3333,143.5833,Otway Gate Motel
67,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
72,Doha,QA,60.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
74,Tucumcari,US,53.94,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
75,Lufilufi,WS,89.38,moderate rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
78,Castro,BR,62.08,clear sky,-24.7911,-50.0119,CHACARA BAILLY
79,Graaff-Reinet,ZA,68.92,light rain,-32.2522,24.5308,Rietjiesbos Self Catering
80,Tshikapa,CD,70.14,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
81,Dalbandin,PK,50.16,clear sky,28.8947,64.4101,Gidaan Guest House
83,Butaritari,KI,81.97,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
85,Vaini,TO,80.83,broken clouds,-21.2,-175.2,Keleti Beach Resort
