City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Matagami,CA,49.7502,-77.6328,-4.54,94,25,6.89,scattered clouds
1,Port Alfred,ZA,-33.5906,26.891,74.73,96,99,3.62,overcast clouds
2,Karmala,IN,18.4167,75.2,70.38,25,1,6.11,clear sky
3,Ahipara,NZ,-35.1667,173.1667,72.93,72,100,15.26,overcast clouds
4,Lebu,CL,-37.6167,-73.65,57.42,78,0,16.8,clear sky
5,Qaanaaq,GL,77.484,-69.3632,-19.59,46,3,10.42,clear sky
6,Yellowknife,CA,62.456,-114.3525,-11.7,90,88,5.99,overcast clouds
7,Mogadishu,SO,2.0371,45.3438,76.69,86,100,14.09,overcast clouds
8,Hobart,AU,-42.8794,147.3294,82.26,28,0,23.02,clear sky
9,Champerico,GT,14.3,-91.9167,79.36,73,10,2.84,clear sky
10,Richards Bay,ZA,-28.783,32.0377,72.91,85,10,8.79,clear sky
11,Aklavik,CA,68.2191,-135.0107,-0.35,94,100,8.37,overcast clouds
12,Rikitea,PF,-23.1203,-134.9692,78.35,66,93,6.46,overcast clouds
13,Khatanga,RU,71.9667,102.5,-29.7,100,18,3.47,few clouds
14,New Norfolk,AU,-42.7826,147.0587,81.9,53,43,12.1,scattered clouds
15,Poum,NC,-20.2333,164.0167,81.07,75,42,16.4,scattered clouds
16,Deqing,CN,30.5448,119.9599,42.76,78,100,5.12,light rain
17,Esperance,AU,-33.8667,121.9,65.89,51,57,16.53,broken clouds
18,Madang,PG,-5.2246,145.7966,84.27,72,99,5.28,overcast clouds
19,Cape Town,ZA,-33.9258,18.4232,73.11,79,8,5.32,clear sky
20,Tuktoyaktuk,CA,69.4541,-133.0374,-15.12,99,100,3.42,overcast clouds
21,Kapaa,US,22.0752,-159.319,75.18,74,75,1.01,broken clouds
22,Thompson,CA,55.7435,-97.8558,1.56,78,100,11.5,overcast clouds
23,Grootfontein,NA,-19.5667,18.1167,64.15,96,100,14.99,moderate rain
24,Port Elizabeth,ZA,-33.918,25.5701,73.09,100,100,3.44,mist
25,Vilia,GR,38.1667,23.3333,50.77,84,100,7.4,overcast clouds
26,Hithadhoo,MV,-0.6,73.0833,82.45,72,9,12.62,clear sky
27,Ribeira Grande,PT,38.5167,-28.7,60.24,73,19,11.68,few clouds
28,Ambalavao,MG,-21.8333,46.9333,63.09,93,75,4.25,broken clouds
29,Bluff,NZ,-46.6,168.3333,66.79,82,100,13.33,overcast clouds
30,Puerto Quijarro,BO,-17.7833,-57.7667,72.72,100,100,2.73,overcast clouds
31,Chuy,UY,-33.6971,-53.4616,60.67,66,0,6.22,clear sky
32,Busselton,AU,-33.65,115.3333,74.08,34,0,15.28,clear sky
33,Souillac,MU,-20.5167,57.5167,80.37,80,100,19.8,light rain
34,Avarua,CK,-21.2078,-159.775,80.65,78,100,12.66,overcast clouds
35,Sibenik,HR,43.7272,15.9058,46.06,60,100,7.0,overcast clouds
36,Hermanus,ZA,-34.4187,19.2345,72.9,88,3,6.8,clear sky
37,Rockland,US,41.1668,-74.0496,24.49,73,15,2.71,few clouds
38,Saint George,US,37.1041,-113.5841,51.94,27,0,1.99,clear sky
39,Airai,TL,-8.9266,125.4092,71.91,63,54,6.87,broken clouds
40,Ushuaia,AR,-54.8,-68.3,40.01,95,97,2.37,light rain
41,Srednekolymsk,RU,67.45,153.6833,-12.19,90,100,3.0,overcast clouds
42,Padang,ID,-0.9492,100.3543,80.65,79,93,2.89,overcast clouds
43,Ilulissat,GL,69.2167,-51.1,6.82,72,100,2.3,overcast clouds
44,Cidreira,BR,-30.1811,-50.2056,72.86,87,1,3.44,clear sky
45,Hilo,US,19.7297,-155.09,74.25,82,56,4.85,broken clouds
46,Sibolga,ID,1.7427,98.7792,81.86,77,53,1.5,light rain
47,Kavieng,PG,-2.5744,150.7967,79.86,85,97,13.8,moderate rain
48,Ostrovnoy,RU,68.0531,39.5131,15.13,95,100,3.69,overcast clouds
49,Tamandare,BR,-8.7597,-35.1047,77.88,83,54,6.85,broken clouds
50,Olafsvik,IS,64.8945,-23.7142,23.5,81,80,7.7,broken clouds
51,Fukue,JP,32.6881,128.8419,48.78,63,100,23.02,overcast clouds
52,Miraflores,MX,19.2167,-98.8083,64.02,64,53,3.38,broken clouds
53,Ancud,CL,-41.8697,-73.8203,57.22,88,82,6.51,broken clouds
54,Nikolskoye,RU,59.7035,30.7861,24.69,97,99,4.59,snow
55,Atlantic City,US,39.3643,-74.4229,31.98,74,0,6.91,clear sky
56,Tasiilaq,GL,65.6145,-37.6368,10.56,89,80,8.14,broken clouds
57,Codrington,AU,-38.2667,141.9667,62.58,61,88,20.38,overcast clouds
58,Lata,PT,40.1629,-8.3327,51.06,58,0,5.99,clear sky
59,Taoudenni,ML,22.6783,-3.9836,64.72,8,4,11.01,clear sky
60,Inhambane,MZ,-23.865,35.3833,78.17,71,83,6.26,broken clouds
61,Kaitangata,NZ,-46.2817,169.8464,69.93,76,100,7.43,overcast clouds
62,Pevek,RU,69.7008,170.3133,-16.65,96,71,0.72,broken clouds
63,Longyearbyen,SJ,78.2186,15.6401,12.04,73,40,5.75,light snow
64,Tiksi,RU,71.6872,128.8694,-10.86,100,100,5.57,overcast clouds
65,Colac,AU,-38.3333,143.5833,75.0,51,37,15.99,scattered clouds
66,Walvis Bay,NA,-22.9575,14.5053,69.1,85,100,7.56,overcast clouds
67,Georgetown,MY,5.4112,100.3354,85.93,70,20,9.22,few clouds
68,Troitskoye,RU,52.9821,84.6757,12.27,94,99,4.03,overcast clouds
69,Talnakh,RU,69.4865,88.3972,6.21,94,98,8.81,overcast clouds
70,Craig,US,40.5153,-107.5464,27.36,89,19,2.91,few clouds
71,Punta Arenas,CL,-53.15,-70.9167,46.11,81,75,19.57,light intensity shower rain
72,Doha,QA,25.2867,51.5333,60.78,94,2,4.61,clear sky
73,Victoria Point,AU,-27.5833,153.3,101.44,67,43,3.0,scattered clouds
74,Tucumcari,US,35.1717,-103.725,53.94,16,0,11.5,clear sky
75,Lufilufi,WS,-13.8745,-171.5986,89.38,72,100,4.18,moderate rain
76,Kapuskasing,CA,49.4169,-82.4331,16.11,90,93,10.8,overcast clouds
77,Dandong,CN,40.1292,124.3947,25.88,52,1,15.03,clear sky
78,Castro,BR,-24.7911,-50.0119,62.08,90,3,2.21,clear sky
79,Graaff-Reinet,ZA,-32.2522,24.5308,68.92,90,100,1.88,light rain
80,Tshikapa,CD,-6.4167,20.8,70.14,96,100,1.43,light rain
81,Dalbandin,PK,28.8947,64.4101,50.16,46,0,6.22,clear sky
82,Albany,US,42.6001,-73.9662,16.52,71,7,1.97,clear sky
83,Butaritari,KI,3.0707,172.7902,81.97,78,100,12.64,overcast clouds
84,Komsomolskiy,UZ,40.4272,71.7189,27.82,86,52,6.91,mist
85,Vaini,TO,-21.2,-175.2,80.83,72,62,13.91,broken clouds
86,Jamestown,US,42.097,-79.2353,22.64,63,0,5.75,clear sky
87,Cabo San Lucas,MX,22.8909,-109.9124,69.51,58,0,0.0,clear sky
88,Rawson,AR,-43.3002,-65.1023,70.2,28,2,20.09,clear sky
89,Flinders,AU,-34.5833,150.8552,94.21,66,27,5.01,scattered clouds
90,Tarakan,ID,3.3,117.6333,83.7,70,40,4.61,scattered clouds
91,Santiago Del Estero,AR,-27.7951,-64.2615,77.76,41,100,4.47,overcast clouds
92,Corinto,GR,37.9407,22.9573,56.44,80,100,5.66,overcast clouds
93,Celestun,MX,20.8667,-90.4,72.32,68,23,13.29,few clouds
94,Chokurdakh,RU,70.6333,147.9167,-12.77,95,100,1.57,overcast clouds
